"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","184.0868045701248","87.5335760233496","4.786312026177887","-0.2852566341849986","0.022299999999999986","0.019","0.025599999999999956","835.5555555555555","0.0005301108409717522","0","0.0005301108409717522","0.0005301108409717522","","","true"
"1","419.4191341076433","393.63500071813695","4.834497451058296","-0.3106941478695178","0.035599999999999965","0.0336","0.03759999999999997","835.5555555555555","0.0005965332834373597","0","0.0005965332834373597","0.0005965332834373597","1_0:0.009994803059702267","1_0:593.7777777777777","true"
"2","381.7704618696906","290.0528597065077","4.713585784737397","-0.3126886766479872","0.024499999999999966","0.0172","0.03180000000000005","835.5555555555555","0.0002596031940039969","0","0.0002596031940039969","0.0002596031940039969","2_1:0.009447012206230149","2_1:593.7777777777777","true"
"3","307.3961008261252","252.6716144544069","4.859046625595072","-0.31034359454113686","0.004899999999999904","0.00539999999999996","0.0044","835.5555555555555","0.0001403614198293717","0","0.0001403614198293717","0.0001403614198293717","3_4:0.002848836307293323;3_2:0.013629584309581833","3_4:593.7777777777777;3_2:593.7777777777777","true"
"4","585.3434633765693","408.10533121219123","4.801202213531255","-0.3111189159174216","0.007800000000000029","0.007199999999999984","0.0084","835.5555555555555","0.00009260365010927007","0","0.00009260365010927007","0.00009260365010927007","4_15:1","4_15:593.7777777777777","true"
"5","316.3949203885966","416.89363472917324","4.900568165173145","-0.30882064699882933","0.03289999999999993","0.03359999999999996","0.0322","835.5555555555555","0.00020840806119787713","0","0.00020840806119787713","0.00020840806119787713","5_6:0.0039018459804826267;5_4:0.0037843303933208783","5_6:593.7777777777777;5_4:593.7777777777777","true"
"6","267.5097902040374","366.4940863664241","4.947819327613607","-0.307623639937622","0.010700000000000043","0.0108","0.010600000000000054","835.5555555555555","0.00008933348869763284","0","0.00008933348869763284","0.00008933348869763284","6_7:0.005177248377379123","6_7:593.7777777777777","true"
"7","442.2372859297886","160.7724445302244","4.828724998225708","-0.3105046772851977","0.018799999999999928","0.0176","0.020000000000000018","835.5555555555555","0.0002229433178856762","0","0.0002229433178856762","0.0002229433178856762","7_8:0.00742911520744205","7_8:593.7777777777777","true"
"8","303.9400391967642","69.33869580688489","4.7447349281927576","-0.3114301472923753","0.01429999999999998","0.0138","0.014800000000000035","835.5555555555555","0.00015032790592441988","0","0.00015032790592441988","0.00015032790592441988","8_16:0.007343949080757001","8_16:593.7777777777777","true"
"9","260.07725869844256","52.30627097259224","4.833299021371565","-0.3104450030412055","0.010499999999999954","0.0116","0.009399999999999964","835.5555555555555","0.0002873016178009581","0","0.0002873016178009581","0.0002873016178009581","9_8:0.005456996182286927;9_10:0.011785259766495776","9_8:593.7777777777777;9_10:593.7777777777777","true"
"10","265.35945163538014","331.38816012732894","4.9421875948568035","-0.30830782839576215","0.010999999999999899","0.007399999999999962","0.0146","835.5555555555555","0.0001605464595644483","0","0.0001605464595644483","0.0001605464595644483","","","true"
"11","142.80593996832067","77.93430276695051","4.84110717862911","-0.30936968457726133","0.03359999999999996","0.0336","0.03359999999999996","835.5555555555555","0.000961266991458944","0","0.000961266991458944","0.000961266991458944","11_10:0.01267566139633855;11_12:0.022500126354107586","11_10:593.7777777777777;11_12:593.7777777777777","true"
"12","217.77293468209234","248.59406622319932","4.70839665326037","-0.31183095493798546","0.0252","0.03359999999999996","0.0168","835.5555555555555","0.00011270425983703767","0","0.00011270425983703767","0.00011270425983703767","","","true"
"13","465.7849816107545","310.2072045403018","4.88812977481363","-0.3088087685854997","0.006799999999999917","0.0064","0.007199999999999984","835.5555555555555","0.00013986660339096604","0","0.00013986660339096604","0.00013986660339096604","13_12:0.0047069986383786455","13_12:593.7777777777777","true"
"14","191.7498711053625","31.16897895185474","4.8353909472447425","-0.30988928575810737","0.06109999999999993","0.0596","0.06259999999999999","835.5555555555555","0.0011273246499989386","0","0.0011273246499989386","0.0011273246499989386","14_0:0.01728501358188192;14_18:0.0177100332124282","14_0:593.7777777777777;14_18:593.7777777777777","true"
"15","30.35877246300914","40.2717871992331","4.711768831411766","0","0.028200000000000003","0.03820000000000001","0.0182","835.5555555555555","0.005678622377214745","0","0.005678622377214745","0.005678622377214745","","","true"
"16","376.3499061751646","82.82069928240783","4.900185847990026","-0.30882162824599824","0.013500000000000068","0.012800000000000034","0.0142","835.5555555555555","0.0002179441146805982","0","0.0002179441146805982","0.0002179441146805982","16_26:0.016544524001752686","16_26:593.7777777777777","true"
"17","287.4508505235117","50.16475044473748","4.900151435306795","-0.3085748509504337","0.022499999999999964","0.014800000000000035","0.0302","835.5555555555555","0.00029131196256504047","0","0.00029131196256504047","0.00029131196256504047","17_12:0.03315568951225775","17_12:593.7777777777777","true"
"18","239.21482995161912","243.07647752853603","4.935195621075671","-0.30918188650745965","0.007600000000000051","0.006000000000000005","0.0092","835.5555555555555","0.00012917707777505724","0","0.00012917707777505724","0.00012917707777505724","","","true"
"19","482.7280289289773","24.206366862903455","4.780066264735604","-0.3106389363556615","0.006399999999999961","0.0048","0.008000000000000007","835.5555555555555","0.00009798693243053813","0","0.00009798693243053813","0.00009798693243053813","19_18:0.003886581953450291;19_20:0.0037373231125920336","19_18:593.7777777777777;19_20:593.7777777777777","true"
"20","343.65582928667806","184.51854747497345","4.674205356090596","-0.31205063927139387","0.025900000000000034","0.026","0.025800000000000045","835.5555555555555","0.0001244834767409348","0","0.0001244834767409348","0.0001244834767409348","20_33:0.013675188244600484","20_33:593.7777777777777","true"
"21","272.3787849504122","114.90752146226386","4.8425901265749545","-0.31009860190175154","0.01649999999999996","0.0154","0.01759999999999995","835.5555555555555","0.00017503225585933292","0","0.00017503225585933292","0.00017503225585933292","21_20:0.004671597697692376;21_22:0.007092341325991125","21_20:593.7777777777777;21_22:593.7777777777777","true"
"22","418.6437529781229","354.152099743682","4.745832753744324","-0.3108332439544664","0.023299999999999987","0.025399999999999978","0.0212","835.5555555555555","0.0004154383960704828","0","0.0004154383960704828","0.0004154383960704828","22_15:1","22_15:593.7777777777777","true"
"23","354.5642680032509","327.6604337525709","4.814096493355977","-0.31074100632792395","0.006099999999999994","0.00880000000000003","0.0034","835.5555555555555","0.00038800484740536426","0","0.00038800484740536426","0.00038800484740536426","23_22:0.008047672750770257","23_22:593.7777777777777","true"
"24","236.37613877958262","219.5385770770792","4.901548887062464","-0.30900368409611917","0.024699999999999944","0.02639999999999998","0.023","835.5555555555555","0.00010239742454467839","0","0.00010239742454467839","0.00010239742454467839","24_23:0.0030186812362373305","24_23:593.7777777777777","true"
"25","286.61503255442426","373.183346643181","4.7085474754655765","-0.31146582832141173","0.00539999999999996","0.007399999999999962","0.0034","835.5555555555555","0.00040117530026089886","0","0.00040117530026089886","0.00040117530026089886","25_24:0.01684783534359055","25_24:593.7777777777777","true"
"26","42.94156645450638","57.37815540437112","4.843715005570825","-0.31079434699802555","0.006900000000000017","0.009","0.0048000000000000265","835.5555555555555","0.000519527880242692","0","0.000519527880242692","0.000519527880242692","26_25:0.013682666874185206;26_27:0.009417573047506955","26_25:593.7777777777777;26_27:593.7777777777777","true"
"27","320.53385513837816","211.5038003070325","4.75926950596477","-0.3100516475500105","0.006899999999999906","0.0074","0.006399999999999961","835.5555555555555","0.0001622560113599179","0","0.0001622560113599179","0.0001622560113599179","","","true"
"28","263.87965098768046","41.342591940135755","4.847671280045883","-0.31014118090231224","0.012699999999999934","0.010199999999999987","0.0152","835.5555555555555","0.0002287703696143962","0","0.0002287703696143962","0.0002287703696143962","28_27:0.003914334386862062;28_35:0.010058673195672552","28_27:593.7777777777777;28_35:593.7777777777777","true"
"29","182.76291572709377","230.01064483275024","4.976389065759314","-0.3069387236990145","0.09119999999999995","0.14500000000000002","0.0374","835.5555555555555","0.0074527759700049375","0","0.0074527759700049375","0.0074527759700049375","29_28:0.01678066011831439","29_28:593.7777777777777","true"
"30","246.84940533963476","286.8668060383151","4.828944255970922","-0.30991187486271293","0.019199999999999995","0.0164","0.02200000000000002","835.5555555555555","0.00021489656912468614","0","0.00021489656912468614","0.00021489656912468614","30_29:0.01339973670278058;30_17:0.03842641827396043","30_29:593.7777777777777;30_17:593.7777777777777","true"
"31","24.529512936421355","16.412661237741226","4.875039368845573","-0.3094140119866609","0.05600000000000005","0.05279999999999996","0.0592","835.5555555555555","0.00023605514192184192","0","0.00023605514192184192","0.00023605514192184192","31_30:0.0089308886941874;31_32:0.004546330126520337","31_30:593.7777777777777;31_32:593.7777777777777","true"
"32","431.0385040185293","460.66923866756144","4.782839270020548","-0.30999681224072134","0.00869999999999993","0.009","0.008399999999999963","835.5555555555555","0.0000763323108514162","0","0.0000763323108514162","0.0000763323108514162","","","true"
"33","45.5597168570076","37.158871436395806","4.634814071985065","-0.3116644990137896","0.12380000000000002","0.11040000000000005","0.1372","835.5555555555555","0.0012261084842732808","0","0.0012261084842732808","0.0012261084842732808","","","true"
"34","282.0662074763568","103.92136731971188","5.03641469604533","-0.3065882551151996","0.06420000000000003","0.058","0.07040000000000002","835.5555555555555","0.0002600123754217805","0","0.0002600123754217805","0.0002600123754217805","34_43:0.006957893301934609;34_24:0.006519894427356815","34_43:593.7777777777777;34_24:593.7777777777777","true"
"35","322.5688912539475","128.7076358091504","4.999563425125387","-0.3060319888474881","0.0645","0.08979999999999999","0.0392","835.5555555555555","0.00018261191291441478","0","0.00018261191291441478","0.00018261191291441478","35_47:0.012847763531939144","35_47:593.7777777777777","true"
"36","372.1778046441371","323.47432989156584","4.897333037133811","-0.30827498992817887","0.009600000000000053","0.0112","0.008000000000000007","835.5555555555555","0.00010284007737829374","0","0.00010284007737829374","0.00010284007737829374","36_32:0.0033276230417028374","36_32:593.7777777777777","true"
"37","444.10493743427025","70.75561407224075","4.7641510070630515","-0.3099429486697431","0.08779999999999999","0.08","0.09560000000000002","835.5555555555555","0.0001448988214366038","0","0.0001448988214366038","0.0001448988214366038","","","true"
"38","464.1414848794651","365.30034102853404","4.825756727027905","-0.3103752492369365","0.1301000000000001","0.1014","0.15880000000000005","835.5555555555555","0.000205482383582699","0","0.000205482383582699","0.000205482383582699","38_39:0.009705495309406481;38_37:0.006042449280429213","38_39:593.7777777777777;38_37:593.7777777777777","true"
"39","253.40445515429917","23.125653356329718","4.727283524882579","-0.31244613238420155","0.00869999999999993","0.010199999999999987","0.0072","835.5555555555555","0.0004301302992192382","0","0.0004301302992192382","0.0004301302992192382","39_33:0.01820271215624955;39_40:0.030855998210578606","39_33:593.7777777777777;39_40:593.7777777777777","true"
"40","318.5314328827038","172.06051184603587","4.8817732101142015","-0.30914045946945545","0.016999999999999904","0.0166","0.01739999999999997","835.5555555555555","0.00043863853397766497","0","0.00043863853397766497","0.00043863853397766497","40_41:0.006094843895964208","40_41:593.7777777777777","true"
"41","235.4135725385343","237.6910937354252","4.795348716522516","-0.3107622131963274","0.0049000000000000155","0.00660000000000005","0.0032","835.5555555555555","0.00029839903908413065","0","0.00029839903908413065","0.00029839903908413065","41_42:0.005385067547713979","41_42:593.7777777777777","true"
