2025-04-27 20:32:51.630833
QEC Code: 7_1_3
Task: Noise-Free Training for H Gate
Training for 160 data......
	 batch: 1 | Cost: 0.46464103685358404
	 batch: 2 | Cost: 0.4171296495360167
	 batch: 3 | Cost: 0.36399759137169185
	 batch: 4 | Cost: 0.3080288837669731
	 batch: 5 | Cost: 0.2959926341063665
	 batch: 6 | Cost: 0.2916547503303296
	 batch: 7 | Cost: 0.2681301883111237
	 batch: 8 | Cost: 0.22302584747346396
Epoch: 1 | Cost: 0.32907507271869374
	 batch: 1 | Cost: 0.24603658390591665
	 batch: 2 | Cost: 0.2397999461789088
	 batch: 3 | Cost: 0.2654664606462039
	 batch: 4 | Cost: 0.2045985025344061
	 batch: 5 | Cost: 0.24612864824571729
	 batch: 6 | Cost: 0.2606807315988993
	 batch: 7 | Cost: 0.24626875403065807
	 batch: 8 | Cost: 0.2058726826308758
Epoch: 2 | Cost: 0.23935653872144824
	 batch: 1 | Cost: 0.23507791813349646
	 batch: 2 | Cost: 0.23179582157526438
	 batch: 3 | Cost: 0.2564447570173555
	 batch: 4 | Cost: 0.19755177473593338
	 batch: 5 | Cost: 0.23503389035326636
	 batch: 6 | Cost: 0.24476659845633425
	 batch: 7 | Cost: 0.22574312191313733
	 batch: 8 | Cost: 0.18289306711017578
Epoch: 3 | Cost: 0.22616336866187045
	 batch: 1 | Cost: 0.19923357190123142
	 batch: 2 | Cost: 0.18322886633688984
	 batch: 3 | Cost: 0.18544828883670197
	 batch: 4 | Cost: 0.13091365200817834
	 batch: 5 | Cost: 0.14155938578719823
	 batch: 6 | Cost: 0.1395902947893291
	 batch: 7 | Cost: 0.1273726890053271
	 batch: 8 | Cost: 0.10632156949289936
Epoch: 4 | Cost: 0.1517085397697194
	 batch: 1 | Cost: 0.12360546065998235
	 batch: 2 | Cost: 0.1254419805876993
	 batch: 3 | Cost: 0.14241546040186315
	 batch: 4 | Cost: 0.11188552466925453
	 batch: 5 | Cost: 0.13506896122367726
	 batch: 6 | Cost: 0.14252544231930248
	 batch: 7 | Cost: 0.13275928491868413
	 batch: 8 | Cost: 0.10929275882729317
Epoch: 5 | Cost: 0.12787435920096957
	 batch: 1 | Cost: 0.12275262407616824
	 batch: 2 | Cost: 0.11986655713323154
	 batch: 3 | Cost: 0.13197186225658677
	 batch: 4 | Cost: 0.10157937261516443
	 batch: 5 | Cost: 0.12241432746819778
	 batch: 6 | Cost: 0.13053266648488132
