2025-04-28 18:24:50.236549
QEC Code: 7_1_3
Task: Noise-Free Training for H Gate
Training for 160 data......
	 batch: 3 | Cost: 3.600369379819224e-06
	 batch: 4 | Cost: 3.0853084740101178e-06
	 batch: 5 | Cost: 3.163789065546707e-06
	 batch: 6 | Cost: 2.654987112710172e-06
	 batch: 7 | Cost: 2.781984947336502e-06
	 batch: 8 | Cost: 2.6265214279619364e-06
Epoch: 15 | Cost: 3.1889401071259762e-06
	 batch: 1 | Cost: 3.0405297353375273e-06
	 batch: 2 | Cost: 2.4150467113570607e-06
	 batch: 3 | Cost: 2.589001038966199e-06
	 batch: 4 | Cost: 2.239603791609479e-06
	 batch: 5 | Cost: 2.29481431984202e-06
	 batch: 6 | Cost: 1.930391892146499e-06
	 batch: 7 | Cost: 2.0294786041374913e-06
	 batch: 8 | Cost: 1.927392617773194e-06
Epoch: 16 | Cost: 2.308282338896184e-06
	 batch: 1 | Cost: 2.219476138709542e-06
	 batch: 2 | Cost: 1.7767901190457458e-06
	 batch: 3 | Cost: 1.8959590074085763e-06
	 batch: 4 | Cost: 1.6578661449440092e-06
	 batch: 5 | Cost: 1.6909117895314019e-06
	 batch: 6 | Cost: 1.428979036088851e-06
	 batch: 7 | Cost: 1.5005480607122034e-06
	 batch: 8 | Cost: 1.4406891898188779e-06
Epoch: 17 | Cost: 1.7014024357824007e-06
	 batch: 1 | Cost: 1.6513909417925633e-06
	 batch: 2 | Cost: 1.3273567299187938e-06
	 batch: 3 | Cost: 1.4155299258411525e-06
	 batch: 4 | Cost: 1.2497610573425354e-06
	 batch: 5 | Cost: 1.2693970488308893e-06
	 batch: 6 | Cost: 1.0781768062850804e-06
	 batch: 7 | Cost: 1.1306521591092355e-06
	 batch: 8 | Cost: 1.0844140139687487e-06
Epoch: 18 | Cost: 1.2758348353861248e-06
	 batch: 1 | Cost: 1.2407848876183624e-06
	 batch: 2 | Cost: 1.0037382065342105e-06
	 batch: 3 | Cost: 1.0608964674863052e-06
	 batch: 4 | Cost: 9.500615656576894e-07
	 batch: 5 | Cost: 9.61116490999503e-07
	 batch: 6 | Cost: 8.151161702940613e-07
	 batch: 7 | Cost: 8.545530288783798e-07
	 batch: 8 | Cost: 8.298622880542617e-07
Epoch: 19 | Cost: 9.645161381903467e-07
	 batch: 1 | Cost: 9.433748849763112e-07
	 batch: 2 | Cost: 7.644246974303215e-07
	 batch: 3 | Cost: 8.082707104783982e-07
	 batch: 4 | Cost: 7.25447227928333e-07
	 batch: 5 | Cost: 7.285198474704657e-07
	 batch: 6 | Cost: 6.225481014920931e-07
	 batch: 7 | Cost: 6.556511578881263e-07
	 batch: 8 | Cost: 6.367552941310972e-07
Epoch: 20 | Cost: 7.356239902243933e-07
	 batch: 1 | Cost: 7.224172231701242e-07
	 batch: 2 | Cost: 5.855254336051274e-07
	 batch: 3 | Cost: 6.182724870851252e-07
	 batch: 4 | Cost: 5.585816047704028e-07
	 batch: 5 | Cost: 5.607276359065327e-07
	 batch: 6 | Cost: 4.7426231227776226e-07
	 batch: 7 | Cost: 5.070299720077998e-07
	 batch: 8 | Cost: 4.908861968688783e-07
Epoch: 21 | Cost: 5.647128582114691e-07
	 batch: 1 | Cost: 5.562212018805912e-07
	 batch: 2 | Cost: 4.498358909588163e-07
	 batch: 3 | Cost: 4.742885147512865e-07
	 batch: 4 | Cost: 4.3064537384451816e-07
	 batch: 5 | Cost: 4.3291826612446016e-07
	 batch: 6 | Cost: 3.696630421323732e-07
	 batch: 7 | Cost: 3.908572583477543e-07
	 batch: 8 | Cost: 3.80953569761866e-07
Epoch: 22 | Cost: 4.356728897252082e-07
	 batch: 1 | Cost: 4.2431774723850067e-07
	 batch: 2 | Cost: 3.494039801765769e-07
	 batch: 3 | Cost: 3.686055168372615e-07
	 batch: 4 | Cost: 3.3492716488003894e-07
	 batch: 5 | Cost: 3.3404885881327396e-07
	 batch: 6 | Cost: 2.8482481877478706e-07
	 batch: 7 | Cost: 2.9926451044492983e-07
	 batch: 8 | Cost: 2.9387047199014307e-07
Epoch: 23 | Cost: 3.36157883644439e-07
	 batch: 1 | Cost: 3.289619045443448e-07
	 batch: 2 | Cost: 2.7291216642688634e-07
	 batch: 3 | Cost: 2.857205409378949e-07
	 batch: 4 | Cost: 2.586922043579243e-07
	 batch: 5 | Cost: 2.5849665882815565e-07
	 batch: 6 | Cost: 2.1922011450570267e-07
	 batch: 7 | Cost: 2.3229454219064749e-07
	 batch: 8 | Cost: 2.289520803777645e-07
Epoch: 24 | Cost: 2.606562765211651e-07
	 batch: 1 | Cost: 2.534811721355279e-07
	 batch: 2 | Cost: 2.1332416420549726e-07
	 batch: 3 | Cost: 2.1984821096387997e-07
	 batch: 4 | Cost: 2.0128798965957096e-07
	 batch: 5 | Cost: 2.020132641611383e-07
	 batch: 6 | Cost: 1.708944366018983e-07
	 batch: 7 | Cost: 1.8417709085616352e-07
	 batch: 8 | Cost: 1.7873267459944664e-07
Epoch: 25 | Cost: 2.0296987539789036e-07
	 batch: 1 | Cost: 1.9915172060902542e-07
	 batch: 2 | Cost: 1.6269939772106668e-07
	 batch: 3 | Cost: 1.7016064497998863e-07
	 batch: 4 | Cost: 1.5545004959371943e-07
	 batch: 5 | Cost: 1.5363496699283275e-07
	 batch: 6 | Cost: 1.3121203646937473e-07
	 batch: 7 | Cost: 1.3854063559692876e-07
	 batch: 8 | Cost: 1.3552634518521066e-07
Epoch: 26 | Cost: 1.557969746435184e-07
	 batch: 1 | Cost: 1.5651109596670488e-07
	 batch: 2 | Cost: 1.265471239242366e-07
	 batch: 3 | Cost: 1.353123593228478e-07
	 batch: 4 | Cost: 1.224821575385171e-07
	 batch: 5 | Cost: 1.2062209516772172e-07
	 batch: 6 | Cost: 1.0259345009644427e-07
	 batch: 7 | Cost: 1.078468846060776e-07
	 batch: 8 | Cost: 1.0545403076878124e-07
Epoch: 27 | Cost: 1.2217114967391638e-07
	 batch: 1 | Cost: 1.179643551174614e-07
	 batch: 2 | Cost: 9.711597842021469e-08
	 batch: 3 | Cost: 1.0013459404989433e-07
	 batch: 4 | Cost: 9.33864159002873e-08
	 batch: 5 | Cost: 9.237645988702247e-08
	 batch: 6 | Cost: 8.127741816799095e-08
	 batch: 7 | Cost: 8.215063861394256e-08
	 batch: 8 | Cost: 8.42977603110473e-08
Epoch: 28 | Cost: 9.358795255848263e-08
	 batch: 1 | Cost: 9.121543458334713e-08
	 batch: 2 | Cost: 7.530206201367129e-08
	 batch: 3 | Cost: 7.992298685088884e-08
	 batch: 4 | Cost: 7.357710945510299e-08
	 batch: 5 | Cost: 7.10413916971131e-08
	 batch: 6 | Cost: 6.038594524970797e-08
	 batch: 7 | Cost: 6.37024851646295e-08
	 batch: 8 | Cost: 6.522415839649298e-08
Epoch: 29 | Cost: 7.254644667636921e-08
	 batch: 1 | Cost: 7.10994279506938e-08
	 batch: 2 | Cost: 5.767020435643033e-08
	 batch: 3 | Cost: 6.122021981025405e-08
	 batch: 4 | Cost: 5.6889193522646764e-08
	 batch: 5 | Cost: 5.514403692008507e-08
	 batch: 6 | Cost: 4.70772948846232e-08
	 batch: 7 | Cost: 5.2325650501394704e-08
	 batch: 8 | Cost: 4.953221854897549e-08
Epoch: 30 | Cost: 5.6369780811887926e-08
	 batch: 1 | Cost: 5.44555011749992e-08
	 batch: 2 | Cost: 4.82007427415887e-08
	 batch: 3 | Cost: 4.857786596312863e-08
	 batch: 4 | Cost: 4.0149200897232615e-08
	 batch: 5 | Cost: 4.2357049362395925e-08
	 batch: 6 | Cost: 3.793090804782295e-08
	 batch: 7 | Cost: 3.855905118532732e-08
	 batch: 8 | Cost: 3.64905414107497e-08
Epoch: 31 | Cost: 4.3340107597905636e-08
	 batch: 1 | Cost: 3.9667472029325523e-08
	 batch: 2 | Cost: 3.160993471418294e-08
	 batch: 3 | Cost: 3.5561559014185565e-08
	 batch: 4 | Cost: 3.378881058280214e-08
	 batch: 5 | Cost: 3.3352553924226316e-08
	 batch: 6 | Cost: 2.7375832545306622e-08
	 batch: 7 | Cost: 3.042968318989203e-08
	 batch: 8 | Cost: 3.0109573700976e-08
Epoch: 32 | Cost: 3.2736927462612143e-08
	 batch: 1 | Cost: 3.451734257309269e-08
	 batch: 2 | Cost: 2.6841314632042313e-08
	 batch: 3 | Cost: 2.670019521588962e-08
	 batch: 4 | Cost: 2.3699296541890292e-08
	 batch: 5 | Cost: 2.6043965489774835e-08
	 batch: 6 | Cost: 2.108287031066247e-08
	 batch: 7 | Cost: 2.069282054595334e-08
	 batch: 8 | Cost: 2.2080161521387254e-08
Epoch: 33 | Cost: 2.5207245853836604e-08
	 batch: 1 | Cost: 2.2293691775976397e-08
	 batch: 2 | Cost: 2.1676058786779252e-08
	 batch: 3 | Cost: 2.0291668195726587e-08
	 batch: 4 | Cost: 2.090265628917898e-08
	 batch: 5 | Cost: 1.9257153127671957e-08
	 batch: 6 | Cost: 1.7108471300764093e-08
	 batch: 7 | Cost: 1.8566493514837747e-08
	 batch: 8 | Cost: 1.491829714206361e-08
Epoch: 34 | Cost: 1.9376811266624827e-08
	 batch: 1 | Cost: 1.830404588454293e-08
	 batch: 2 | Cost: 1.3004711152397874e-08
	 batch: 3 | Cost: 1.5646980289218958e-08
	 batch: 4 | Cost: 1.3599883647019694e-08
	 batch: 5 | Cost: 1.609232123667148e-08
	 batch: 6 | Cost: 1.1795136373171644e-08
	 batch: 7 | Cost: 1.3136847754058323e-08
	 batch: 8 | Cost: 1.1910212410759512e-08
Epoch: 35 | Cost: 1.418626734348005e-08
	 batch: 1 | Cost: 1.2052126552308806e-08
	 batch: 2 | Cost: 1.0087554880300331e-08
	 batch: 3 | Cost: 1.2827365841738824e-08
	 batch: 4 | Cost: 1.1006395789214807e-08
	 batch: 5 | Cost: 1.2408268978969516e-08
	 batch: 6 | Cost: 9.177702381402142e-09
	 batch: 7 | Cost: 1.0732176747296763e-08
	 batch: 8 | Cost: 6.911662475683755e-09
Epoch: 36 | Cost: 1.0650406705864366e-08
	 batch: 1 | Cost: 9.399603773108111e-09
	 batch: 2 | Cost: 7.669138502031102e-09
	 batch: 3 | Cost: 1.0731957372778212e-08
	 batch: 4 | Cost: 8.575452042913767e-09
	 batch: 5 | Cost: 6.355295217863599e-09
	 batch: 6 | Cost: 6.727438922604634e-09
	 batch: 7 | Cost: 8.578832394467995e-09
	 batch: 8 | Cost: 6.714198530488602e-09
Epoch: 37 | Cost: 8.093989594532003e-09
	 batch: 1 | Cost: 5.454598156484636e-09
	 batch: 2 | Cost: 6.687853543185796e-09
	 batch: 3 | Cost: 6.240414240910042e-09
	 batch: 4 | Cost: 6.569144905821389e-09
	 batch: 5 | Cost: 3.7256910945249185e-09
	 batch: 6 | Cost: 3.6652916479695818e-09
	 batch: 7 | Cost: 3.399539039161681e-09
	 batch: 8 | Cost: 4.8675750541349315e-09
Epoch: 38 | Cost: 5.0762634602741216e-09
	 batch: 1 | Cost: 4.263594588493902e-09
	 batch: 2 | Cost: 3.452059493813664e-09
	 batch: 3 | Cost: 5.1844788906407756e-09
	 batch: 4 | Cost: 4.374022388731192e-09
	 batch: 5 | Cost: 4.212413695636741e-09
	 batch: 6 | Cost: 3.805975556936403e-09
	 batch: 7 | Cost: 5.899131427788973e-09
	 batch: 8 | Cost: 4.957300470120885e-09
Epoch: 39 | Cost: 4.518622064020317e-09
	 batch: 1 | Cost: 5.775497302629162e-09
	 batch: 2 | Cost: 3.173847040738309e-09
	 batch: 3 | Cost: 1.2894787571049448e-09
	 batch: 4 | Cost: 2.83739099993241e-09
	 batch: 5 | Cost: 3.776260115717633e-09
	 batch: 6 | Cost: 1.1821964518432537e-09
	 batch: 7 | Cost: 1.5550739029812632e-09
	 batch: 8 | Cost: 1.952312267405887e-09
Epoch: 40 | Cost: 2.6927571047941077e-09
	 batch: 1 | Cost: 2.3803257809262847e-09
	 batch: 2 | Cost: 8.096309178640126e-10
	 batch: 3 | Cost: 3.2474040900787315e-09
	 batch: 4 | Cost: 1.2998692344723394e-09
	 batch: 5 | Cost: 2.705672574876417e-10
	 batch: 6 | Cost: 3.949371052414108e-10
	 batch: 7 | Cost: 7.74055375352134e-11
	 batch: 8 | Cost: -1.2671189653090665e-10
Epoch: 41 | Cost: 1.044178503384341e-09
	 batch: 1 | Cost: 1.948270722529344e-09
	 batch: 2 | Cost: -1.4017609517580353e-09
	 batch: 3 | Cost: 1.590085840774691e-11
	 batch: 4 | Cost: 1.439879959708179e-09
	 batch: 5 | Cost: -1.0663600447102795e-09
	 batch: 6 | Cost: 5.877501152440346e-10
	 batch: 7 | Cost: -1.3783512997633807e-09
	 batch: 8 | Cost: 3.0666547079505336e-11
Epoch: 42 | Cost: 2.1999488342139272e-11
	 batch: 1 | Cost: 4.4365935369938827e-10
	 batch: 2 | Cost: 8.900577164183687e-10
	 batch: 3 | Cost: -4.3432806240417675e-10
	 batch: 4 | Cost: -7.28290761031758e-12
	 batch: 5 | Cost: -1.4881692877999343e-09
	 batch: 6 | Cost: -4.198501657448617e-10
	 batch: 7 | Cost: 3.205183229937347e-10
	 batch: 8 | Cost: -5.682279091701048e-10
Epoch: 43 | Cost: -1.579528674522379e-10
	 batch: 1 | Cost: -9.080040164199942e-10
	 batch: 2 | Cost: -1.6196541774426976e-09
	 batch: 3 | Cost: -1.0331244748584823e-10
	 batch: 4 | Cost: -1.866419252483098e-09
